specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec,match_status,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS
5288610892388521984,0.02047035,180.65218,41.054187,1237664670054744099,15.39743,13.81851,13.25597,12.9912,12.85098,CFIS_LSB.273.262.r,180.8642735921127,41.0,Matched,23808.0,8098.7715,6055.8462,180.6522245,41.0542898,13.1781,0.0002,13.1781,0.0002,15.7723,0.0003,0.00600321,1.844184e-06,0.00405638,1.232374e-06,7.08,19.16,235853.0,18.18,81.834,50.0
6807257459499227136,0.01822807,222.66425,42.740957,1237658203986329660,16.03257,14.41933,13.94568,13.7131,13.58631,CFIS_LSB.328.265.r,222.44003960511813,42.5,Matched,32905.0,1809.0795,9674.6416,222.6642372,42.7410024,13.7498,0.0002,13.8003,0.0002,15.7835,0.0003,0.003782754,1.104764e-06,0.001279781,4.296424e-07,-29.65,-27.89,56045.0,17.9243,52.982,27.0
6810626363042846720,0.01854611,232.41799,42.654227,1237662501076467812,16.06808,14.98444,14.48852,14.25357,14.012,CFIS_LSB.343.265.r,232.6126023919376,42.5,Matched,26487.0,7767.6138,7991.5645,232.4184173,42.6542074,14.4107,0.0004,14.4107,0.0004,16.0262,0.0004,0.001966452,9.878863e-07,0.001750124,9.105279e-07,-71.7,-67.63,48919.0,18.515,31.253,2.0
6822965906878257152,0.01825437,218.30285,41.320494,1237661433245270237,16.45393,15.19207,14.62821,14.35559,14.19266,CFIS_LSB.327.263.r,218.30396038334243,41.5,Matched,5246.0,5017.7236,1524.5188,218.3027426,41.3206576,14.5683,0.0004,14.5683,0.0004,16.5985,0.0004,0.002465204,1.111623e-06,0.001454419,6.985558e-07,13.35,12.75,40839.0,19.1456,41.979,2.0
7117978347574155264,0.01846527,248.67341,46.392097,1237654953203400808,15.53745,14.21632,13.68043,13.40903,13.28174,CFIS_LSB.342.273.r,248.4184837845505,46.5,Matched,9878.0,1593.4495,2908.9504,248.6733476,46.391814,13.4154,0.0002,13.4154,0.0002,16.4369,0.0004,0.003777067,9.996883e-07,0.003631584,9.186261e-07,9.26,-41.51,131493.0,18.8349,84.34,18.0
7119085555766548480,0.01976093,243.78817,46.774538,1237655349967126640,15.95488,14.47151,13.84949,13.45547,13.30335,CFIS_LSB.333.274.r,244.1354844089976,47.0,Matched,1130.0,9609.3184,641.3422,243.7881937,46.7745589,13.7283,0.0003,13.7283,0.0003,15.7704,0.0003,0.003121802,9.33685e-07,0.002314377,8.410596e-07,20.91,3.91,88527.0,17.4017,59.03,18.0
7307318650272503808,0.01805995,200.00397,31.981396,1237665227311022188,16.29644,14.67571,13.84989,13.38514,13.03181,CFIS_LSB.339.244.r,199.8707393698753,32.0,Matched,17898.0,2810.4395,4641.3945,200.0039434,31.9814255,13.914,0.0002,13.9955,0.0002,15.5652,0.0003,0.002758244,7.69529e-07,0.0009649757,3.544062e-07,-45.25,-32.14,33722.0,18.099,34.808,19.0
7569431228862191616,0.01922478,238.93217,49.535023,1237655349428420664,16.18183,15.15777,14.63167,14.38648,14.16785,CFIS_LSB.310.279.r,238.6642016994668,49.5,Matched,22041.0,1630.116,5683.9204,238.9321495,49.5349825,14.5371,0.0002,14.5371,0.0002,15.7578,0.0003,0.001641372,5.88145e-07,0.0007135866,3.152043e-07,37.95,33.03,18835.0,18.0705,23.421,0.0
7685588035619280896,0.01933924,198.82265,67.176309,1237651539251429538,17.04129,15.59574,15.23688,15.02758,15.22041,CFIS_LSB.155.314.r,198.34611155667744,67.0,Matched,27768.0,1418.124,8430.5312,198.8226135,67.1763145,15.0177,0.0006,15.0177,0.0006,17.1706,0.0008,0.002173589,1.301978e-06,0.001514657,9.567075e-07,8.97,9.17,31853.0,19.9726,40.485,2.0
3380074197156995072,0.02504611,203.34363,54.949095,1237661416062582837,16.52079,14.49716,13.62207,13.24613,12.98761,CFIS_LSB.233.290.r,203.1115516898579,55.0,Matched,13639.0,2413.9451,4017.2246,203.3439136,54.949065,13.4423,0.0002,13.4423,0.0002,15.0109,0.0002,0.003626199,2.064882e-06,0.002830998,1.380661e-06,-12.81,-7.85,145698.0,17.0674,43.279,50.0
