# PGC,Common,RAdeg,DEdeg,GLON_1,GLAT_1,SGL_1,SGB_1,T,Bmag,Ksmag_1,logK_1,Vh_1,VLS_1,D_1,e_D_1,eabs_D_1,Deff,eDeff,LMS,Mhcorbest,Rvirbest,thetavbest,tile,dec,ra,Separation
1771,UGC00285,7.213,28.9396,116.9934,-33.6715,323.2315,13.1193,1.0,14.58,11.75,9.63,2169,2418,-99.9,-99.9,99.8001,34.54285714,10.36285714,9.692716513,11.40432193,158.2634581,0.262509723,CFIS_LSB.013.238.r,29.0,7.431801441176581,722.616658578607
8833,PGC008833,34.7163,-3.0409,167.6533,-58.1074,299.2534,-20.9939,-1.0,14.58,11.8,9.63,2422,2478,-99.9,-99.9,99.8001,35.4,10.62,9.694006524,11.40492897,158.3372133,0.25627293,CFIS_LSB.069.174.r,-3.0,34.547345936928274,624.981435263672
8974,NGC0895,35.4019,-5.5214,171.7744,-59.5474,296.871,-22.3044,6.0,11.88,9.68,10.44,2284,2327,29.38,14.0,4.1132,29.38,4.1132,10.38010358,11.84624796,222.1720023,0.433271913,CFIS_LSB.070.169.r,-5.5,35.16187831278948,863.5279726652886
9485,PGC009485,37.382,-3.213,171.6115,-56.5112,299.8532,-23.6028,0.3,13.55,10.43,10.17,2415,2461,-99.9,-99.9,99.8001,35.15714286,10.54714286,10.23602715,11.71626684,201.0769494,0.327696432,CFIS_LSB.075.174.r,-3.0,37.55146297492204,979.3214532634008
20250,UGC03685                     1,107.2747,61.5955,154.6915,25.7015,28.166,-12.6448,3.0,12.53,9.74,10.24,1797,1937,-99.9,-99.9,99.8001,27.67142857,8.301428571,10.30406316,11.77318424,210.0558382,0.43493682,CFIS_LSB.102.303.r,61.5,106.88266515792849,755.1885681137745
20611,PGC020611                    1,109.5178,68.3427,147.3436,27.5085,28.5856,-5.8449,-5.0,14.6,11.13,10.0,2627,2794,-99.9,-99.9,99.8001,39.91428571,11.97428571,10.06625672,11.59932732,183.8156356,0.263862144,CFIS_LSB.080.317.r,68.5,109.14015311083864,755.4373824077475
21698,UGC03975                     1,116.2489,72.8108,142.274,29.7703,30.117,-1.0941,8.0,14.96,11.95,9.63,2481,2663,-99.9,-99.9,99.8001,38.04285714,11.41285714,9.696546253,11.40612479,158.482607,0.238688491,CFIS_LSB.068.326.r,73.0,116.29032307433113,682.5339029130015
22067,UGC04050                     1,118.2488,72.0413,143.1011,30.4371,30.8785,-1.7082,4.4,14.52,11.84,9.68,2498,2676,-99.9,-99.9,99.8001,38.22857143,11.46857143,9.744776138,11.42902777,161.2931534,0.241741305,CFIS_LSB.073.324.r,72.0,118.11648117874232,209.100782098617
22270,NGC2460                      1,119.2177,60.3494,156.7004,31.3511,34.2283,-12.9261,1.9,12.14,8.59,10.49,1442,1565,35.16,25.0,8.79,35.16,8.79,10.97209773,12.87682377,490.0208955,0.798525395,CFIS_LSB.117.301.r,60.5,118.80016461378918,918.8802099097128
22947,UGC04242                     1,122.7468,72.7944,142.0099,31.6772,31.975,-0.6083,4.2,14.58,11.71,9.71,2432,2611,-99.9,-99.9,99.8001,37.3,11.19,9.775417664,11.44379581,163.1317934,0.250583677,CFIS_LSB.072.326.r,73.0,123.13093031399764,844.5151362557175
