# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
446,PGC000446,1.5108,27.3489,110.696,-34.442,320.7132,17.8009,4.8,16.78,14.3,8.91,3181,3438,,,446,0,CFIS_LSB.003.235.r,27.5,1.6910729202995136,,,792.2911907556161,0.1802729202995137,0.1511001586914062,5633,8082.5991,2062.7283,1.5119882,27.348316,15.4857,0.0016,15.4857,0.0016,18.7018,0.0027,0.002854658,3.69779E-6,0.002615385,3.25748E-6,6.11,-6.63,48009,21.6911,71.861,18,4.342305717503602
598,UGC00063,1.9617,35.9661,113.1235,-26.074,329.7582,18.5567,9.9,15.35,12.72,8.18,439,714,,,598,0,CFIS_LSB.003.252.r,36.0,1.8541019662496845,,,336.3643485497612,0.1075980337503155,0.0339012145996093,17030,3296.6711,4360.5664,1.9627015,35.9669548,15.4206,0.0016,15.8245,0.0012,18.3193,0.0019,0.002396442,2.882918E-6,0.001964024,2.281231E-6,-88.29,-72.74,26624,20.5942,57.073,3,4.240845399212429
660,NGC0016,2.2679,27.7294,111.5861,-34.2072,321.217,17.1971,-2.7,12.74,8.84,11.08,3100,3356,,,660,0,CFIS_LSB.004.235.r,27.5,2.254763893732685,,,826.9046687219908,0.0131361062673152,0.229400634765625,32404,4776.9995,9446.7295,2.2677642,27.7294598,11.7417,1.0E-4,11.7417,1.0E-4,13.5098,1.0E-4,0.00580486,8.38204E-7,0.003702643,6.066796E-7,22.38,26.6,456996,16.4455,50.818,62,0.4833265805623398
1774,PGC001774,7.2085,32.1739,117.3835,-30.4541,326.5001,13.7129,,16.4,12.4,9.6,2893,3150,,,1774,0,CFIS_LSB.012.244.r,32.0,7.075070420172579,,,746.6948659779672,0.1334295798274212,0.1739006042480468,31187,2808.959,8370.6592,7.2086448,32.1738632,15.6483,6.0E-4,15.6483,6.0E-4,16.6858,6.0E-4,0.001510598,1.153316E-6,5.345104E-4,4.470142E-7,-50.89,-50.85,12120,19.4964,20.248,0,0.4606896988646168
1771,UGC00285,7.213,28.9396,116.9934,-33.6715,323.2315,13.1193,1.0,14.58,11.75,9.63,2169,2418,,,1771,0,CFIS_LSB.013.238.r,29.0,7.431801441176581,,,722.616658578607,0.2188014411765806,0.0604000091552734,14427,8711.0078,3833.0928,7.2129814,28.9396079,14.0618,2.0E-4,14.0618,2.0E-4,15.3405,2.0E-4,0.002751176,1.046384E-6,8.472076E-4,3.561101E-7,-75.14,-75.5,40035,17.1909,27.965,18,0.0651355807149119
2216,PGC002216,9.2817,28.8318,119.1539,-33.9349,323.4882,11.3223,9.0,14.84,12.42,9.29,1986,2231,,,2216,0,CFIS_LSB.016.238.r,29.0,9.14683254298656,,,739.7777736134414,0.1348674570134402,0.1681995391845703,5198,2718.4038,1762.176,9.2812287,28.8328546,14.9311,5.0E-4,14.9311,5.0E-4,16.9226,7.0E-4,0.001908031,1.170829E-6,0.001302264,8.885781E-7,-32.57,-23.89,29464,19.3325,35.094,0,4.077144336338116
3559,UGC00614,14.901,35.5603,124.8005,-27.2818,331.2009,8.151,6.4,13.51,11.98,9.6,2343,2591,34.83,18.0,3559,0,CFIS_LSB.024.251.r,35.5,14.739922934066811,,,519.4429213223893,0.1610770659331883,0.0602989196777343,24547,2456.0933,6173.4858,14.9012885,35.5604471,13.5707,3.0E-4,13.5707,3.0E-4,16.7495,5.0E-4,0.004686861,1.37238E-6,0.002364903,7.449721E-7,66.31,67.36,108508,19.3668,81.344,18,0.9971445359038498
4126,NGC0404,17.3623,35.718,127.0347,-27.0102,331.8495,6.2504,-2.8,10.94,7.64,9.09,-48,195,2.99,6.0,4126,0,CFIS_LSB.028.251.r,35.5,17.19657675641128,,,922.588659595397,0.1657232435887223,0.2179985046386718,32382,2458.2954,9505.9316,17.3581488,35.7324074,10.422,1.0E-4,10.422,1.0E-4,18.0668,0.0017,0.06892645,2.243297E-6,0.008856525,4.333945E-7,89.06,88.42,1204711,16.7769,1148.213,184,53.26667430185473
5518,UGC01054,22.2029,34.3457,131.6553,-27.8922,331.6431,2.0617,6.2,15.76,14.25,8.78,2661,2890,72.11,25.0,5518,0,CFIS_LSB.037.249.r,34.5,22.44801858673248,,,915.6436174671932,0.2451185867324739,0.1543006896972656,5778,8924.1992,2017.0475,22.2027607,34.3458285,16.067,9.0E-4,16.067,9.0E-4,17.8589,9.0E-4,0.003532722,3.918689E-6,5.017486E-4,5.213635E-7,-56.58,-56.67,17794,20.6122,38.725,18,0.6208323314681125
27596,UGC05114,145.0132,82.1046,129.8483,32.2565,31.7237,9.7168,9.9,14.79,13.27,8.78,1610,1825,14.86,25.0,27596,0,CFIS_LSB.040.344.r,82.0,143.70593068655413,,,751.7927528887874,1.307269313445886,0.1045989990234375,20747,1504.4292,7059.3042,145.0191147,82.1042172,15.1272,4.0E-4,15.6525,5.0E-4,17.3526,7.0E-4,0.002765198,2.222772E-6,9.186006E-4,4.846427E-7,-36.79,-44.22,10345,18.8833,43.86,19,3.2333528841656505
