# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
2121,Andromeda II,8.8447,36.5047,119.3342,-26.2548,331.1263,13.1373,10.0,14.55,11.0,6.66,-346,-83,0.75,3.0,2557,-436,CFIS_LSB.014.253.r,36.5,8.708017985472265,,,395.8916445375849,0.1366820145277341,0.00469970703125,17211,2871.2288,5092.1152,8.8446793,36.5046754,14.7679,2.0E-4,14.7419,2.0E-4,14.8279,2.0E-4,4.802531E-4,2.803997E-7,3.937362E-4,2.306615E-7,-22.0,-32.48,7573,16.8637,5.947,3,0.1069151907464158
5056923,Andromeda XI,11.5833,33.8014,121.7188,-29.0583,328.8525,10.4235,,,14.1,5.4,-419,-167,0.73,2.0,2557,5054366,CFIS_LSB.019.248.r,34.0,11.459070510787102,,,805.5811437496244,0.1242294892128974,0.1986007690429687,5155,2996.9824,1157.2452,11.5834551,33.8016432,25.444,0.4093,25.0938,0.1563,99.0,99.0,6.492744E-5,1.225149E-5,5.573008E-5,1.048484E-5,-76.37,-75.04,16,24.4259,1.576,1,0.9908647398753312
5056924,Andromeda XII,11.8625,34.3747,121.9957,-28.4897,329.4716,10.3169,,,14.2,5.57,-556,-304,0.93,4.0,2557,5054367,CFIS_LSB.020.249.r,34.5,12.134064100936472,,,923.8993501542632,0.2715641009364713,0.1253013610839843,9098,9342.6211,2577.7344,11.8625616,34.3747058,25.3474,0.2831,25.3474,0.2831,25.5984,0.9007,5.051675E-5,1.754916E-5,3.314829E-5,1.165561E-5,-17.4,-17.42,5,24.5106,2.359,0,0.184219593807679
5056927,Andromeda XVI,14.8742,32.3767,124.9059,-30.4642,328.0742,7.417,,,11.3,6.15,-385,-144,0.48,9.0,2557,5054370,CFIS_LSB.025.245.r,32.5,14.821113092927009,,,472.2717924575005,0.0530869070729913,0.1232986450195312,10359,4129.4556,2613.5159,14.8743039,32.3768408,24.9469,0.6098,24.9469,0.6098,24.7763,0.5293,1.243629E-4,8.534722E-6,9.515114E-5,6.424671E-6,-72.28,-73.28,49,23.1904,1.097,2,0.5972571736894751
5818,Triangulum,23.4621,30.6599,133.6103,-31.3309,328.4673,-0.09,5.9,5.77,4.48,9.34,-179,37,0.81,3.0,2557,3261,CFIS_LSB.040.241.r,30.5,23.211842075715463,,,965.8991203810704,0.2502579242845364,0.1599006652832031,162735,1077.0068,8634.833,23.4472399,30.687353,99.0,99.0,21.6538,0.0836,99.0,99.0,8.283483E-5,3.446316E-6,6.462441E-5,2.569418E-6,3.15,4.42,27,22.462,-0.245,1,109.0164582855101
166062,PGC166062,26.178,27.2884,137.2457,-34.0982,326.0543,-3.4357,10.0,16.37,14.8,7.18,420,618,7.01,9.0,6595,159467,CFIS_LSB.046.235.r,27.5,25.929784777925875,,,1099.8685815030033,0.2482152220741262,0.2115993499755859,2210,737.363,897.9323,26.1772885,27.2881068,17.1316,0.009,17.1316,0.009,19.7798,0.0099,0.002001921,7.293801E-6,0.001386796,4.99887E-6,-14.38,-11.91,11415,21.9027,49.738,2,2.509157019826648
166063,PGC166063,26.6759,26.8014,137.9139,-34.4574,325.7451,-4.0176,10.0,16.89,15.5,6.9,366,562,8.67,9.0,6595,159468,CFIS_LSB.048.234.r,27.0,26.93582970322466,,,1098.8842362849855,0.2599297032246603,0.1986007690429687,3127,9506.4844,1150.4559,26.6753002,26.8011169,17.6561,0.0071,17.6561,0.0071,19.9606,0.0078,0.001921378,7.72325E-6,9.626908E-4,3.881388E-6,-5.79,-4.53,7709,22.4478,41.98,2,2.1801959966560767
6574,IC1727,26.8746,27.333,137.9542,-33.8982,326.3065,-4.0028,8.9,10.95,9.0,9.5,336,533,7.45,9.0,6595,-21,CFIS_LSB.048.235.r,27.5,27.05716672479221,517.0,2.0,837.7469963111886,0.1825667247922169,0.1669998168945312,9208,8188.4287,1763.9773,26.8719597,27.332892,13.5233,8.0E-4,13.5233,8.0E-4,99.0,99.0,0.02077852,4.061084E-6,0.007324902,1.388405E-6,-30.37,-28.54,1022759,16.4993,661.041,112,8.452816160960994
166065,PGC166065,30.0421,28.8311,140.6343,-31.667,328.7093,-6.0825,10.0,16.41,14.2,7.03,168,360,5.01,9.0,7671,158394,CFIS_LSB.053.238.r,29.0,30.298882798642985,620.0,2.0,1012.1620087365078,0.2567827986429805,0.1688995361328125,3142,9367.3398,1715.7826,30.0416343,28.8302832,18.0879,0.0182,18.626,0.0084,20.2247,0.0119,0.00207101,2.438987E-5,7.636046E-4,9.053642E-6,-34.12,-34.58,3252,22.854,35.728,3,3.286873891604392
26091,UGC04832,138.7146,79.1966,133.3763,33.0667,32.6598,6.781,3.1,14.49,11.74,9.55,1957,2161,,,25999,92,CFIS_LSB.053.338.r,79.0,138.8823412004479,376.0,2.0,716.9210309160827,0.1677412004479208,0.1966018676757812,17003,5593.4004,8804.2578,138.7189831,79.196265,13.9739,5.0E-4,13.9739,5.0E-4,15.9144,4.0E-4,0.004243086,3.364181E-6,0.001423271,1.067487E-6,-68.59,-70.51,71509,17.6178,50.574,18,3.1941094976201816
