Unnamed: 0_1,tile_1,total_count_1,N_cut_1,good_count_1,good_fraction_1,N_cut_masked_1,normalized_N_1,ra_1,dec_1,Unnamed: 0_2,tile_2,total_count_2,N_cut_2,good_count_2,good_fraction_2,N_cut_masked_2,normalized_N_2,ra_2,dec_2,Unnamed: 0,tile,total_count,N_cut,good_count,good_fraction,N_cut_masked,normalized_N,ra,dec
0,CFIS_LSB.297.282.r,37010,12816,31826,0.8599297487165631,11059,12860.352856155345,235.96883576626377,51.0,0,CFIS_LSB.297.282.r,37010,26,31826,0.8599297487165631,17,19.769056746056684,235.96883576626377,51.0,0,CFIS_LSB.297.282.r,37010,4207,31826,0.8599297487165631,3641,4234.066800728963,235.96883576626377,51.0
1,CFIS_LSB.326.251.r,31395,9175,26238,0.8357381748686097,7633,9133.243196890007,200.2172865210742,35.5,1,CFIS_LSB.326.251.r,31395,31,26238,0.8357381748686097,18,21.53784587239881,200.2172865210742,35.5,1,CFIS_LSB.326.251.r,31395,2978,26238,0.8357381748686097,2436,2914.788474731305,200.2172865210742,35.5
2,CFIS_LSB.202.309.r,34531,11124,31422,0.9099649590223278,10078,11075.151740818535,234.60487023166064,64.5,2,CFIS_LSB.202.309.r,34531,47,31422,0.9099649590223278,33,36.265132709566544,234.60487023166064,64.5,2,CFIS_LSB.202.309.r,34531,3702,31422,0.9099649590223278,3303,3629.810101202979,234.60487023166064,64.5
3,CFIS_LSB.182.254.r,28211,10537,24728,0.87653752082521,9215,10512.955556454222,113.94434489221652,37.0,3,CFIS_LSB.182.254.r,28211,52,24728,0.87653752082521,24,27.380459398252995,113.94434489221652,37.0,3,CFIS_LSB.182.254.r,28211,3711,24728,0.87653752082521,3149,3592.5444435457784,113.94434489221652,37.0
4,CFIS_LSB.205.294.r,26982,11240,22103,0.819175746794159,9130,11145.349500067863,188.19804202460796,57.0,4,CFIS_LSB.205.294.r,26982,48,22103,0.819175746794159,31,37.84291725105189,188.19804202460796,57.0,4,CFIS_LSB.205.294.r,26982,4259,22103,0.819175746794159,3364,4106.566891372212,188.19804202460796,57.0
5,CFIS_LSB.181.258.r,32454,11538,28922,0.8911690392555617,10398,11667.820067768482,116.45174071333165,39.0,5,CFIS_LSB.181.258.r,32454,43,28922,0.8911690392555617,24,26.930917640550447,116.45174071333165,39.0,5,CFIS_LSB.181.258.r,32454,3825,28922,0.8911690392555617,3497,3924.059124541872,116.45174071333165,39.0
6,CFIS_LSB.343.253.r,25852,12539,22148,0.8567228841095467,10803,12609.678345674552,213.3464406440705,36.5,6,CFIS_LSB.343.253.r,25852,32,22148,0.8567228841095467,21,24.512010113780025,213.3464406440705,36.5,6,CFIS_LSB.343.253.r,25852,4885,22148,0.8567228841095467,4131,4821.862560953585,213.3464406440705,36.5
7,CFIS_LSB.047.343.r,23490,9972,10762,0.458152405278842,4146,9049.390447872143,158.98852326387646,81.5,7,CFIS_LSB.047.343.r,23490,37,10762,0.458152405278842,10,21.826797992938115,158.98852326387646,81.5,7,CFIS_LSB.047.343.r,23490,4241,10762,0.458152405278842,1564,3413.711206095521,158.98852326387646,81.5
8,CFIS_LSB.262.277.r,41090,13539,31590,0.7688001946945728,10419,13552.285849952515,197.70002485247576,48.5,8,CFIS_LSB.262.277.r,41090,72,31590,0.7688001946945728,57,74.14150047483382,197.70002485247576,48.5,8,CFIS_LSB.262.277.r,41090,4371,31590,0.7688001946945728,3349,4356.138334916113,197.70002485247576,48.5
9,CFIS_LSB.417.243.r,33137,11352,28998,0.8750943054591545,9860,11267.357059107524,244.5345747440209,31.5,9,CFIS_LSB.417.243.r,33137,39,28998,0.8750943054591545,28,31.9965514863094,244.5345747440209,31.5,9,CFIS_LSB.417.243.r,33137,3736,28998,0.8750943054591545,3202,3659.0342092558103,244.5345747440209,31.5
