specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec
4424924712058247168,0.01856694,238.71711,21.11669,1237665536540868935,16.11694,15.04575,14.68854,14.46239,14.46315,No tile found,,
4460933723370838016,0.02047855,227.0892,21.879268,1237665532791029773,17.48812,15.97952,15.15293,14.73468,14.40194,No tile found,,
4558949136515487744,0.0193091,200.15364,-2.2893384,1237655494904381584,15.5788,14.16075,13.43403,13.02712,12.74647,No tile found,,
4561025010207315968,0.01819028,196.95928,-0.86843045,1237648720164421894,16.0199,14.94633,14.37387,14.06414,13.79591,No tile found,,
4561027484108478464,0.01834199,196.91499,-0.94120963,1237648720164421644,16.28716,15.57524,15.52711,15.9177,22.92939,No tile found,,
4561045900928243712,0.01859772,196.59267,-1.6811572,1237650371562962954,16.51333,14.59548,13.93161,13.60583,13.42104,No tile found,,
4562193795480049664,0.01811678,196.91121,-0.942444,1237648720164421639,15.31632,14.05797,13.62968,13.25324,13.1054,No tile found,,
4563541246828894208,0.01885863,199.14792,-2.0913502,1237655499199348807,15.55854,14.2285,13.57487,13.262,13.28405,No tile found,,
4760555037033519104,0.01868794,21.0622,1.049,1237663278473871482,16.80275,15.31173,14.49627,14.07611,13.85715,No tile found,,
5029524175368509440,0.01845579,126.85997,23.568754,1237664092897673295,17.62118,15.6183,14.7662,14.31573,14.07264,No tile found,,
5047684254018066432,0.02007065,127.66875,20.599694,1237673807583969353,17.30989,15.96463,15.13551,14.715,14.35654,No tile found,,
5050807416813541376,0.01914101,125.18869,19.362724,1237665097918841108,17.27655,15.98688,15.42267,15.12943,14.84756,No tile found,,
5054393473266112512,0.01934491,128.32291,19.346626,1237667108501323907,16.53172,15.5163,15.23673,15.07839,15.0197,No tile found,,
5288610892388521984,0.02047035,180.65218,41.054187,1237664670054744099,15.39743,13.81851,13.25597,12.9912,12.85098,CFIS_LSB.273.262.r,180.8642735921127,41.0
5303016694524172288,0.01872742,209.01849,38.304242,1237664295835402302,28.53783,14.58369,13.72604,13.40154,14.04064,No tile found,,
5326874171845924864,0.02025857,169.78113,3.2310712,1237654030864679018,16.73454,15.45585,14.64799,14.31459,14.01761,No tile found,,
5328967916745676800,0.01894578,161.44238,1.9973484,1237651753465348105,16.98126,15.56919,15.01097,14.74991,14.55911,No tile found,,
5336779946894579712,0.01849269,175.2567,1.4933511,1237654028719554640,17.02238,15.49533,14.72045,14.37895,14.15519,No tile found,,
5344750306701105152,0.01931153,179.89526,3.3380573,1237651755084021870,16.87185,15.64383,15.05729,14.74173,14.45504,No tile found,,
5474212028989331456,0.01965321,212.73896,6.3648539,1237655743476662300,15.23594,13.61934,12.92341,12.53434,12.24236,No tile found,,
5989983043242448896,0.01963966,146.96014,15.852041,1237668289080131621,16.86147,15.14235,14.24748,13.77,13.4607,No tile found,,
6027163303494834176,0.01828264,163.04069,12.795345,1237661068180127839,16.32737,15.20481,14.71666,14.47719,14.32661,No tile found,,
6058497186349733888,0.02052786,177.42264,13.244612,1237661813882224757,17.45666,15.90834,15.41355,15.25419,15.22399,No tile found,,
6078842548620908544,0.01970066,185.22956,11.00889,1237658493892231254,16.26681,15.01553,14.40262,14.08072,13.78906,No tile found,,
6133041874834053120,0.01924699,210.72947,9.3497832,1237662238014439591,17.40324,15.60511,14.84003,14.47941,14.26445,No tile found,,
6138550153194526720,0.02007925,210.88018,9.2209395,1237662263778148463,16.10388,14.61962,13.89216,13.51921,13.23264,No tile found,,
