tile,ra,dec,good_fraction
CFIS_LSB.011.238.r,6.28844737330326,29.0,0.36335265
CFIS_LSB.012.237.r,6.827359087063981,28.5,0.69594392
CFIS_LSB.012.238.r,6.860124407239921,29.0,0.76126527
CFIS_LSB.012.239.r,6.893733249508504,29.5,0.70598107
CFIS_LSB.013.237.r,7.396305677652647,28.5,0.75967179
CFIS_LSB.013.238.r,7.431801441176581,29.0,0.69226976
CFIS_LSB.013.239.r,7.468211020300879,29.5,0.61647097
CFIS_LSB.014.237.r,7.965252268241311,28.5,0.61520331
CFIS_LSB.014.238.r,8.00347847511324,29.0,0.61253138
CFIS_LSB.014.239.r,8.042688791093255,29.5,0.65752423
CFIS_LSB.015.238.r,8.5751555090499,29.0,0.70943895
CFIS_LSB.067.174.r,33.54597359093035,-3.0,0.00486325
CFIS_LSB.068.174.r,34.04665976392931,-3.0,0.05968812
CFIS_LSB.068.173.r,34.0635353599101,-3.5,0.70326503
CFIS_LSB.068.169.r,34.15725321813835,-5.5,0.80855218
CFIS_LSB.069.174.r,34.547345936928274,-3.0,0.03724963
CFIS_LSB.069.173.r,34.564469703438185,-3.5,0.70547395
CFIS_LSB.069.170.r,34.63178439524548,-5.0,0.74588245
CFIS_LSB.069.169.r,34.65956576546392,-5.5,0.83929722
CFIS_LSB.069.168.r,34.69003564494132,-6.0,0.60312329
CFIS_LSB.070.174.r,35.048032109927235,-3.0,0.06784627
CFIS_LSB.070.173.r,35.06540404696628,-3.5,0.70958827
CFIS_LSB.070.170.r,35.13369431401716,-5.0,0.72466615
CFIS_LSB.070.169.r,35.16187831278948,-5.5,0.85058102
CFIS_LSB.070.168.r,35.192789784723075,-6.0,0.80367539
CFIS_LSB.071.174.r,35.548718282926195,-3.0,0.44016254
CFIS_LSB.071.170.r,35.63560423278883,-5.0,0.86143888
CFIS_LSB.071.169.r,35.66419086011504,-5.5,0.82478107
CFIS_LSB.071.168.r,35.69554392450483,-6.0,0.7942539
CFIS_LSB.072.169.r,36.16650340744061,-5.5,0.8685811
CFIS_LSB.073.174.r,36.55009062892412,-3.0,0.51184148
CFIS_LSB.074.174.r,37.05077680192308,-3.0,0.4336153
CFIS_LSB.074.173.r,37.06914142107863,-3.5,0.81750842
CFIS_LSB.075.174.r,37.55146297492204,-3.0,0.00825429
CFIS_LSB.075.173.r,37.57007576460673,-3.5,0.53445745
CFIS_LSB.076.173.r,38.071010108134814,-3.5,0.03306482
CFIS_LSB.100.303.r,104.7869266254201,61.5,0.43628052
CFIS_LSB.102.302.r,105.195932320993,61.0,0.33316183
CFIS_LSB.099.304.r,105.43769617538086,62.0,0.62518293
CFIS_LSB.101.303.r,105.83479589167428,61.5,0.66920878
CFIS_LSB.103.302.r,106.22726499080666,61.0,0.44560478
